Prompt ID,Physical Page,Printed Page,Exact Title,Module,Learning Objective,Discovery Skills,Activity Type,Illustration Direction,Prompt File,Status
CE-NURSERY-V5-P001,1,hidden,Cover,Front Matter,Introduce Curiosity Explorers and the BCube discovery journey.,"Observe, Explore, Question",Cover composition,"A unique explorer classroom scene with Star and diverse children using magnifying glasses to observe leaves, butterflies, shells and simple science objects.",production-prompts/P001.md,prompt-candidate
CE-NURSERY-V5-P002,2,hidden,Copyright,Front Matter,Present complete publisher and edition information.,Print awareness,Read with an adult,Clean legal-information page with small approved brand elements and no decorative clutter.,production-prompts/P002.md,prompt-candidate
CE-NURSERY-V5-P003,3,hidden,Welcome to Curiosity Explorers,Front Matter,Welcome the child into an observation-and-discovery journey.,"Curiosity, Communication",Point and say,"Star welcomes diverse preschool children into a bright discovery corner with magnifying glass, leaf, shell and butterfly.",production-prompts/P003.md,prompt-candidate
CE-NURSERY-V5-P004,4,hidden,How to Use This Book,Front Matter,Show adults and children the recurring activity symbols and interaction flow.,"Independence, Communication","Look, point, talk","Four large visual steps: look, think, explore and talk, each represented by one clear icon and a child action.",production-prompts/P004.md,prompt-candidate
CE-NURSERY-V5-P005,5,hidden,Meet Star the Explorer,Front Matter,Introduce Star as a consistent inquiry companion.,"Observe, Question, Explore",Listen and repeat,"Approved Star mascot holding a magnifying glass with four simple fact callouts: looks carefully, asks questions, explores safely, shares discoveries.",production-prompts/P005.md,prompt-candidate
CE-NURSERY-V5-P006,6,5,My Explorer Promise,Front Matter,Build safe and positive exploration habits.,"Confidence, Responsibility",Trace and repeat,"Four promise panels with a child observing, asking, exploring safely and caring for nature; include large traceable key words.",production-prompts/P006.md,prompt-candidate
CE-NURSERY-V5-P007,7,6,Look Carefully,Module 1 – Observe and Compare,Find named objects by scanning a simple scene carefully.,"Observation, Vocabulary",Find and circle,"A simple playground scene containing a butterfly, ball, bird, kite, flower, bench and tree; Star observes from the side with a magnifying glass.",production-prompts/P007.md,prompt-candidate
CE-NURSERY-V5-P008,8,7,Big and Small,Module 1 – Observe and Compare,Compare familiar objects by size.,"Compare, Observe",Circle the bigger object,"Four pairs of familiar objects with obvious size contrast: balls, teddy bears, cups and leaves.",production-prompts/P008.md,prompt-candidate
CE-NURSERY-V5-P009,9,8,Same and Different,Module 1 – Observe and Compare,Identify one object that differs from a small group.,"Compare, Classify",Find the different one,"Three rows of four large objects; one item in each row differs by colour, shape or orientation.",production-prompts/P009.md,prompt-candidate
CE-NURSERY-V5-P010,10,9,Find My Match,Module 1 – Observe and Compare,Match identical objects using visual discrimination.,"Observe, Match",Draw matching lines,Two columns of six large familiar objects in shuffled order with generous line-drawing space.,production-prompts/P010.md,prompt-candidate
CE-NURSERY-V5-P011,11,10,What Is Missing?,Module 1 – Observe and Compare,Recall and identify a missing object in a simple sequence.,"Memory, Observe",Choose the missing object,Three short visual sequences with one blank and two large answer choices beneath each.,production-prompts/P011.md,prompt-candidate
CE-NURSERY-V5-P012,12,11,Spot the Difference,Module 1 – Observe and Compare,Notice small changes between two related scenes.,"Observe, Compare",Circle three differences,Two side-by-side preschool garden scenes with exactly three obvious differences and no tiny details.,production-prompts/P012.md,prompt-candidate
CE-NURSERY-V5-P013,13,12,Look and Count,Module 1 – Observe and Compare,Count visible objects from one to five.,"Observe, Early Numeracy",Count and circle,"Five groups of large nature objects, quantities one through five, with large numeral choices.",production-prompts/P013.md,prompt-candidate
CE-NURSERY-V5-P014,14,13,Observation Challenge,Module 1 – Observe and Compare,"Review size, matching, difference and counting skills.","Observe, Compare, Classify",Mixed challenge,Four clearly separated mini-activities using familiar objects from pages 7–13.,production-prompts/P014.md,prompt-candidate
CE-NURSERY-V5-P015,15,14,Beautiful Leaves,Module 2 – Nature Explorers,"Notice differences in leaf shape, size and edge.","Observe, Nature Awareness",Match and colour,Four large leaf types with distinct silhouettes and one simple tree reference.,production-prompts/P015.md,prompt-candidate
CE-NURSERY-V5-P016,16,15,Wonderful Flowers,Module 2 – Nature Explorers,Observe flower colour and petal count.,"Observe, Compare",Count and colour petals,Four large simple flowers with clearly separated petals and friendly garden accents.,production-prompts/P016.md,prompt-candidate
CE-NURSERY-V5-P017,17,16,Trees Around Me,Module 2 – Nature Explorers,Identify the main visible parts of a tree.,"Observe, Vocabulary",Point and match,"One large child-friendly tree showing roots, trunk, branches and leaves with four label cards.",production-prompts/P017.md,prompt-candidate
CE-NURSERY-V5-P018,18,17,Fruits We Eat,Module 2 – Nature Explorers,Recognize familiar fruits and connect them with colours.,"Classify, Vocabulary",Match fruit to colour,"Apple, banana, orange, grapes and watermelon shown as large isolated objects with colour swatches.",production-prompts/P018.md,prompt-candidate
CE-NURSERY-V5-P019,19,18,Healthy Vegetables,Module 2 – Nature Explorers,Recognize familiar vegetables and sort them into a basket.,"Classify, Healthy Habits",Circle and sort,"Carrot, tomato, potato, brinjal, peas and cucumber arranged around one large basket.",production-prompts/P019.md,prompt-candidate
CE-NURSERY-V5-P020,20,19,Birds Around Us,Module 2 – Nature Explorers,Observe common bird features and identify a nest.,"Observe, Nature Awareness",Find and match,"Three friendly birds, one nest, feathers and eggs in a simple outdoor setting.",production-prompts/P020.md,prompt-candidate
CE-NURSERY-V5-P021,21,20,Butterflies and Bees,Module 2 – Nature Explorers,Compare two familiar garden insects.,"Compare, Observe",Tick what you notice,"One large butterfly and one large bee with simple comparison icons for wings, colours and movement.",production-prompts/P021.md,prompt-candidate
CE-NURSERY-V5-P022,22,21,Weather Today,Module 2 – Nature Explorers,"Recognize sunny, rainy, cloudy and windy weather.","Observe, Vocabulary",Match weather to scene,Four equal weather panels with one child dressed appropriately in each.,production-prompts/P022.md,prompt-candidate
CE-NURSERY-V5-P023,23,22,Farm Animals,Module 3 – Animal Explorers,Recognize common farm animals and their sounds.,"Classify, Listening",Match animal to sound,"Cow, sheep, horse, hen and duck as large friendly illustrations with sound cards.",production-prompts/P023.md,prompt-candidate
CE-NURSERY-V5-P024,24,23,Wild Animals,Module 3 – Animal Explorers,Distinguish wild animals from familiar domestic animals.,"Classify, Observe",Circle wild animals,"Lion, elephant, tiger and giraffe mixed with dog and cat, all in separate clear frames.",production-prompts/P024.md,prompt-candidate
CE-NURSERY-V5-P025,25,24,Sea Animals,Module 3 – Animal Explorers,Identify animals that live in water.,"Classify, Nature Awareness",Find water animals,"Fish, dolphin, octopus, turtle and starfish mixed with two land animals.",production-prompts/P025.md,prompt-candidate
CE-NURSERY-V5-P026,26,25,Birds Can Fly,Module 3 – Animal Explorers,Recognize common birds and connect them to the sky.,"Classify, Observe",Match birds to sky,"Parrot, pigeon, crow and sparrow with one clear sky area and simple matching paths.",production-prompts/P026.md,prompt-candidate
CE-NURSERY-V5-P027,27,26,Animal Homes,Module 3 – Animal Explorers,Match common animals with their homes.,"Match, Classify",Draw matching lines,"Dog and kennel, bird and nest, rabbit and burrow, bee and hive in two aligned columns.",production-prompts/P027.md,prompt-candidate
CE-NURSERY-V5-P028,28,27,Baby Animals,Module 3 – Animal Explorers,Match animal babies with their parents.,"Match, Vocabulary",Match baby to parent,"Cow-calf, dog-puppy, cat-kitten and hen-chick as four clear pairs.",production-prompts/P028.md,prompt-candidate
CE-NURSERY-V5-P029,29,28,Animal Food,Module 3 – Animal Explorers,Connect familiar animals with foods they eat.,"Match, Classify",Match animal to food,"Rabbit-carrot, monkey-banana, cow-grass and bird-seeds with large recognizable objects.",production-prompts/P029.md,prompt-candidate
CE-NURSERY-V5-P030,30,29,Animal Explorer Challenge,Module 3 – Animal Explorers,"Review animal groups, homes, babies and foods.","Classify, Recall",Mixed animal challenge,Four mini-activities using only animals introduced on pages 23–29.,production-prompts/P030.md,prompt-candidate
CE-NURSERY-V5-P031,31,30,My Home,Module 4 – Explore My World,Recognize familiar rooms and household objects.,"Observe, Vocabulary",Match object to room,"Four simple room panels: bedroom, kitchen, bathroom and living room, with one movable object card each.",production-prompts/P031.md,prompt-candidate
CE-NURSERY-V5-P032,32,31,My School,Module 4 – Explore My World,Recognize familiar places and people at school.,"Observe, Environmental Awareness",Point and talk,"School entrance, classroom, playground and teacher shown in four balanced panels.",production-prompts/P032.md,prompt-candidate
CE-NURSERY-V5-P033,33,32,My Classroom,Module 4 – Explore My World,Find and name common classroom objects.,"Observe, Vocabulary",Find and circle,"Clean classroom scene containing chair, table, book, pencil, bag, board and blocks.",production-prompts/P033.md,prompt-candidate
CE-NURSERY-V5-P034,34,33,At the Park,Module 4 – Explore My World,Observe playground equipment and safe play actions.,"Observe, Safety Awareness",Find and tick,"Children using slide, swing and seesaw safely, with one bench, tree and ball.",production-prompts/P034.md,prompt-candidate
CE-NURSERY-V5-P035,35,34,Community Helpers,Module 4 – Explore My World,Match community helpers with their tools.,"Classify, Social Awareness",Match helper to tool,"Doctor, firefighter, teacher and police officer with stethoscope, hose, book and traffic baton.",production-prompts/P035.md,prompt-candidate
CE-NURSERY-V5-P036,36,35,Vehicles Around Me,Module 4 – Explore My World,"Sort transport by land, water and air.","Classify, Logical Thinking",Sort vehicles,"Car, bus, bicycle, boat, ship, aeroplane and helicopter with three large category zones.",production-prompts/P036.md,prompt-candidate
CE-NURSERY-V5-P037,37,36,Inside and Outside,Module 4 – Explore My World,Classify familiar objects by where they are usually found.,"Classify, Observe",Sort inside or outside,"Bed, sofa and lamp mixed with tree, swing and garden ball; two large labelled zones.",production-prompts/P037.md,prompt-candidate
CE-NURSERY-V5-P038,38,37,Explore My Neighbourhood,Module 4 – Explore My World,Follow a simple route and recognize neighbourhood landmarks.,"Observe, Spatial Awareness",Trace the path,"Very simple map with home, school, park and shop linked by one wide dotted route.",production-prompts/P038.md,prompt-candidate
CE-NURSERY-V5-P039,39,38,Heavy and Light,Module 5 – Little Scientists,Compare familiar objects by likely weight.,"Compare, Predict",Circle the heavier object,"Four object pairs with obvious weight contrast, such as feather-rock and balloon-watermelon.",production-prompts/P039.md,prompt-candidate
CE-NURSERY-V5-P040,40,39,Soft and Hard,Module 5 – Little Scientists,Classify familiar objects by texture.,"Classify, Sensory Language",Sort soft or hard,"Pillow, cotton, teddy, stone, wooden block and spoon with two large category areas.",production-prompts/P040.md,prompt-candidate
CE-NURSERY-V5-P041,41,40,Sink or Float,Module 5 – Little Scientists,Make simple predictions about objects in water.,"Predict, Explore",Predict and tick,"Clear water tub with leaf, stone, cork, spoon and toy boat shown beside two answer columns.",production-prompts/P041.md,prompt-candidate
CE-NURSERY-V5-P042,42,41,Little Explorer Challenge,Module 5 – Little Scientists,"Review comparison, classification and prediction.","Observe, Compare, Predict",Mixed science challenge,"Four mini-activities reviewing heavy-light, soft-hard and sink-float with large objects.",production-prompts/P042.md,prompt-candidate
CE-NURSERY-V5-P043,43,42,Explorer Certificate,Closing,Celebrate completion and reinforce explorer identity.,"Confidence, Reflection",Complete certificate,"Premium certificate with approved Star, magnifying-glass emblem, child-name line, date and teacher signature line.",production-prompts/P043.md,prompt-candidate
CE-NURSERY-V5-P044,44,hidden,Keep Exploring!,Closing,"Encourage continued observation, questioning and safe exploration.","Curiosity, Confidence",Celebrate and talk,"Back cover with Star and children observing nature; four pillar badges only: Creativity, Communication, Curiosity and Confidence, without descriptions.",production-prompts/P044.md,prompt-candidate
